timestamp_utc,round,load_state,round_start_utc,warmup_start_utc,ready_utc,round_end_utc,locust_exit_code,trafego,taxa_erros,tempo_resposta_medio,tempo_resposta_p95,saturacao_cpu,saturacao_memoria,disponibilidade,concorrencia,trafego_front,trafego_carts,trafego_catalogue,trafego_user,taxa_erros_front,taxa_erros_carts,taxa_erros_catalogue,taxa_erros_user,tempo_resposta_medio_front,tempo_resposta_medio_carts,tempo_resposta_medio_catalogue,tempo_resposta_medio_user,tempo_resposta_p95_front,tempo_resposta_p95_carts,tempo_resposta_p95_catalogue,tempo_resposta_p95_user,saturacao_cpu_front,saturacao_cpu_carts,saturacao_cpu_catalogue,saturacao_cpu_user,saturacao_memoria_front,saturacao_memoria_carts,saturacao_memoria_catalogue,saturacao_memoria_user,disponibilidade_front,disponibilidade_carts,disponibilidade_catalogue,disponibilidade_user,concorrencia_front,concorrencia_carts,concorrencia_catalogue,concorrencia_user
2026-05-08T08:28:41+00:00,1,AQUECIMENTO,2026-05-08T08:28:41.591148+00:00,2026-05-08T08:28:41.591148+00:00,2026-05-08T08:29:41.591148+00:00,2026-05-08T08:34:41.591148+00:00,1,,,,,,,,,0.5966112481107311,0.0,0.6562593218653674,0.6759663245867388,0.0,,,0.0,10.969362797288001,6.530712622063757,0.0018206051425120927,0.010004436842062737,0.00475,nan,0.004749999999999999,0.00475,0.015580482179138933,0.01342157735957412,0.0025348659146932056,0.006591582854131572,289267712.0,161320960.0,150781952.0,72404992.0,100.0,,,100.0,0.0028339034285259725,nan,0.0031172317788604946,0.003210840041787009
2026-05-08T08:28:56+00:00,1,AQUECIMENTO,2026-05-08T08:28:41.591148+00:00,2026-05-08T08:28:41.591148+00:00,2026-05-08T08:29:41.591148+00:00,2026-05-08T08:34:41.591148+00:00,1,,,,,,,,,14.53268276268192,0.0,0.7781937492112901,0.6759455556579717,0.0028943560057887122,,,0.0,11.053622557026548,5.156287525566064,0.0014934215255857268,0.0016806016600544656,8.73905109489051,nan,0.00475,0.00475,0.0599306043111197,0.15256411421994107,0.002575363384423612,0.014362688423027428,266727424.0,161390592.0,150781952.0,73338880.0,99.71056439942113,,,100.0,127.00185720891187,nan,0.003696420308753628,0.0032107413893753653
2026-05-08T08:29:11+00:00,1,AQUECIMENTO,2026-05-08T08:28:41.591148+00:00,2026-05-08T08:28:41.591148+00:00,2026-05-08T08:29:41.591148+00:00,2026-05-08T08:34:41.591148+00:00,1,,,,,,,,,35.700079554494835,0.0,4.673826571201273,51.71992423779556,0.0011142061281337048,,,0.0,11.01622183186435,5.156287525566064,0.0061432735235422515,0.05203096751707297,10.0,nan,0.4206081081081081,0.40564159292035384,0.043197230454901196,0.3914661977412344,0.002633295577408307,0.024753880152122654,266727424.0,162291712.0,150659072.0,73338880.0,99.88857938718662,,,100.0,357.00079554494835,nan,1.9658493517383733,20.979752453539408
2026-05-08T08:29:26+00:00,1,AQUECIMENTO,2026-05-08T08:28:41.591148+00:00,2026-05-08T08:28:41.591148+00:00,2026-05-08T08:29:41.591148+00:00,2026-05-08T08:34:41.591148+00:00,1,,,,,,,,,56.14681974356826,0.0,8.882929690773485,44.266141534336114,0.0007462686567164179,,,0.0,11.179622556474857,5.156287525566064,0.006250461313961067,0.048152777081054816,10.0,nan,0.356756756756757,0.3591814159292033,0.24246810185856826,0.5847982154699465,0.008325226721860687,0.02492432539584209,327778304.0,161517568.0,150740992.0,73617408.0,99.92537313432835,,,100.0,561.4681974356826,nan,3.169045186978651,15.89957539402536
2026-05-08T08:29:41+00:00,1,EXECUCAO,2026-05-08T08:28:41.591148+00:00,2026-05-08T08:28:41.591148+00:00,2026-05-08T08:29:41.591148+00:00,2026-05-08T08:34:41.591148+00:00,1,,,,,,,,,61.37912071125233,,12.4950355909938,46.64468195001788,0.0,,,0.0,10.9181182316274,5.156287525566064,0.007053401726615993,0.04642491510195214,10.0,,0.3618243243243241,0.33318584070796475,0.28108304341560625,0.6868589127102452,0.0158346218394916,0.019302608835470428,312102912.0,162156544.0,150867968.0,73748480.0,100.0,,,100.0,613.7912071125232,,4.521007810119713,15.541347570072338
2026-05-08T08:29:56+00:00,1,EXECUCAO,2026-05-08T08:28:41.591148+00:00,2026-05-08T08:28:41.591148+00:00,2026-05-08T08:29:41.591148+00:00,2026-05-08T08:34:41.591148+00:00,1,,,,,,,,,74.00478439551003,,19.290928050052138,17.51916815460561,0.041856610029009526,,,0.0,10.746451513558476,5.156287525566064,0.006909846389849151,0.04568925051036578,10.0,,0.00480345659163987,0.004796004842615013,0.1958618062434322,0.6561354650275705,0.017575917255620965,0.012933433212614774,320479232.0,163053568.0,151285760.0,73748480.0,95.81433899709904,,,100.0,740.0478439551002,,0.0926631355008734,0.08402201530807522
2026-05-08T08:30:11+00:00,1,EXECUCAO,2026-05-08T08:28:41.591148+00:00,2026-05-08T08:28:41.591148+00:00,2026-05-08T08:29:41.591148+00:00,2026-05-08T08:34:41.591148+00:00,1,,,,,,,,,75.9982825246887,,22.511884680263766,10.76956703161325,0.09564164648910412,,,0.0,10.74753139784248,5.156287525566064,0.007081568517633638,0.04629515708969987,10.0,,0.0047825788751714665,0.004767592592592592,0.2666829593516261,0.6867565876341922,0.019743297780340185,0.009154434772136526,329650176.0,164843520.0,150654976.0,73748480.0,90.4358353510896,,,100.0,759.982825246887,,0.10766486411212565,0.05134490800534872
2026-05-08T08:30:26+00:00,1,EXECUCAO,2026-05-08T08:28:41.591148+00:00,2026-05-08T08:28:41.591148+00:00,2026-05-08T08:29:41.591148+00:00,2026-05-08T08:34:41.591148+00:00,1,,,,,,,,,68.45547338182261,,24.080921675885463,8.884604907486956,0.20803571428571432,,,0.0,11.148489553905728,5.156287525566064,0.007568725253295185,0.04684617169192239,10.0,,0.004774234693877551,0.004783847980997625,0.28757595639054073,0.7349557440890087,0.02167911621473091,0.012046495973073753,324116480.0,164843520.0,150069248.0,73854976.0,79.19642857142857,,,100.0,684.5547338182262,,0.11496797172556032,0.042502599248643066
2026-05-08T08:30:41+00:00,1,EXECUCAO,2026-05-08T08:28:41.591148+00:00,2026-05-08T08:28:41.591148+00:00,2026-05-08T08:29:41.591148+00:00,2026-05-08T08:34:41.591148+00:00,1,,,,,,,,,70.2596232424617,,23.19684841372952,8.091612159287461,0.20847002684163438,,,0.0,11.230136196344674,5.156287525566064,0.0077583058153168,0.04478844245859498,10.0,,0.0047845768880800735,0.004785272277227723,0.28297477614560845,0.875647398960799,0.022227243755121827,0.010067657484635305,330285056.0,162369536.0,150069248.0,72724480.0,79.15299731583656,,,100.0,702.596232424617,,0.11098710479662717,0.03872056734391704
2026-05-08T08:30:56+00:00,1,EXECUCAO,2026-05-08T08:28:41.591148+00:00,2026-05-08T08:28:41.591148+00:00,2026-05-08T08:29:41.591148+00:00,2026-05-08T08:34:41.591148+00:00,1,,,,,,,,,77.8360968626983,,24.195312034036462,9.290203249469283,0.21762452107279698,,,0.0,10.870874208226278,5.156287525566064,0.007602136701960497,0.04446808196825879,10.0,,0.004781430934656741,0.004793378995433791,0.30258714927176117,0.8809457461938419,0.021365609348915102,0.014176328315965414,322703360.0,162525184.0,150188032.0,72572928.0,78.2375478927203,,,100.0,778.360968626983,,0.11568821343321445,0.04453146511931681
