timestamp_utc,round,load_state,round_start_utc,warmup_start_utc,ready_utc,round_end_utc,locust_exit_code,qps_total,qps_2xx,qps_5xx,frontend_p95
2026-04-12T10:31:53+00:00,1,EXECUCAO,2026-04-12T10:22:23.847460+00:00,2026-04-12T10:22:23.847460+00:00,2026-04-12T10:23:23.847460+00:00,2026-04-12T10:33:23.847460+00:00,1,33.41292916021135,26.78907974493258,0.0,0.015606557377049187
2026-04-12T10:32:23+00:00,1,EXECUCAO,2026-04-12T10:22:23.847460+00:00,2026-04-12T10:22:23.847460+00:00,2026-04-12T10:23:23.847460+00:00,2026-04-12T10:33:23.847460+00:00,1,31.493169828654064,25.02118547769882,0.0,0.008566901408450702
2026-04-12T10:32:53+00:00,1,EXECUCAO,2026-04-12T10:22:23.847460+00:00,2026-04-12T10:22:23.847460+00:00,2026-04-12T10:23:23.847460+00:00,2026-04-12T10:33:23.847460+00:00,1,31.139293971314753,24.109080890488137,0.0,0.008829545454545448
2026-04-12T10:33:23+00:00,1,EXECUCAO,2026-04-12T10:22:23.847460+00:00,2026-04-12T10:22:23.847460+00:00,2026-04-12T10:23:23.847460+00:00,2026-04-12T10:33:23.847460+00:00,1,30.876496271419903,23.919758068583846,0.0,0.008899532710280378
2026-04-12T10:23:23.847460+00:00,1,PRONTA,2026-04-12T10:22:23.847460+00:00,2026-04-12T10:22:23.847460+00:00,2026-04-12T10:23:23.847460+00:00,2026-04-12T10:33:23.847460+00:00,1,30.468127823605236,24.433130700152514,0.0,0.008443014705882355
2026-04-12T10:34:00+00:00,2,AQUECIMENTO,2026-04-12T10:34:00.883694+00:00,2026-04-12T10:34:00.883695+00:00,2026-04-12T10:35:00.883695+00:00,2026-04-12T10:45:00.883695+00:00,1,33.240738792464924,26.634072448138514,0.0,0.013198979591836706
2026-04-12T10:34:30+00:00,2,AQUECIMENTO,2026-04-12T10:34:00.883694+00:00,2026-04-12T10:34:00.883695+00:00,2026-04-12T10:35:00.883695+00:00,2026-04-12T10:45:00.883695+00:00,1,33.49296781447371,26.889491321917784,0.0,0.015596153846153864
2026-04-12T10:35:00+00:00,2,EXECUCAO,2026-04-12T10:34:00.883694+00:00,2026-04-12T10:34:00.883695+00:00,2026-04-12T10:35:00.883695+00:00,2026-04-12T10:45:00.883695+00:00,1,34.021473814378496,27.120590437824873,0.0,0.016633495145631068
2026-04-12T10:35:30+00:00,2,EXECUCAO,2026-04-12T10:34:00.883694+00:00,2026-04-12T10:34:00.883695+00:00,2026-04-12T10:35:00.883695+00:00,2026-04-12T10:45:00.883695+00:00,1,33.62984128954364,26.34401018848792,0.0,0.015706521739130425
2026-04-12T10:36:00+00:00,2,EXECUCAO,2026-04-12T10:34:00.883694+00:00,2026-04-12T10:34:00.883695+00:00,2026-04-12T10:35:00.883695+00:00,2026-04-12T10:45:00.883695+00:00,1,33.40569194079188,25.727653289768487,0.0,0.015646551724137932
